tool,label_mode,base_prefix,feature,n_pos,n_neg,median_pos,median_neg,u_stat,p_value,cliffs_delta,pval_adj,reject,abs_delta,practically_significant
FlexFL__is_missing,stratified,mrr,summary_chars,26,10,1.188403355584427,-0.8087090999825624,253.0,1.286890653371982e-05,0.9461538461538461,0.0014799242513777794,True,0.9461538461538461,True
FlexFL__is_missing,stratified,mrr,txt_title_word_count,26,10,1.1193431006509886,-0.7977119766339881,253.0,1.2098934792568151e-05,0.9461538461538461,0.0014276743055230418,True,0.9461538461538461,True
FlexFL__is_missing,stratified,mrr,txt_title_avg_sentence_len,26,10,0.5768488434935563,-0.7028777703161503,253.0,1.2668675415568943e-05,0.9461538461538461,0.0014695663482059973,True,0.9461538461538461,True
FlexFL__is_missing,stratified,mrr,txt_title_avg_words_per_line,26,10,1.1193431006509886,-0.7977119766339881,253.0,1.2098934792568151e-05,0.9461538461538461,0.0014276743055230418,True,0.9461538461538461,True
FlexFL__is_missing,stratified,mrr,txt_title_char_len,26,10,1.188403355584427,-0.8087090999825624,253.0,1.286890653371982e-05,0.9461538461538461,0.0014799242513777794,True,0.9461538461538461,True
FlexFL__is_missing,stratified,mrr,txt_title_digit_density,26,10,0.40870365772562306,-0.6450552541976355,250.0,1.697842626821764e-05,0.9230769230769231,0.0019185621683085931,True,0.9230769230769231,True
FlexFL__is_missing,stratified,mrr,txt_title_avg_word_len,26,10,1.0226095342221344,-0.3969089280843749,249.5,2.138321127408868e-05,0.9192307692307692,0.0023735364514238435,True,0.9192307692307692,True
FlexFL__is_missing,stratified,mrr,description_length,26,10,0.1455207849131602,-1.0231586669890729,239.0,0.00010720989424751692,0.8384615384615385,0.011793088367226862,True,0.8384615384615385,True
FlexFL__is_missing,stratified,mrr,description_chars,26,10,0.1455207849131602,-1.0231586669890729,239.0,0.00010720989424751692,0.8384615384615385,0.011793088367226862,True,0.8384615384615385,True
FlexFL__is_missing,stratified,mrr,fine_grained_description_length,26,10,0.1142833919487039,-1.010642817831555,238.0,0.00012405817403481545,0.8307692307692308,0.013274224621725252,True,0.8307692307692308,True
FlexFL__is_missing,stratified,mrr,n_tokens,26,10,-0.0388230471686033,-0.9973552369566834,237.0,0.00015918807434974776,0.823076923076923,0.016873935881073263,True,0.823076923076923,True
FlexFL__is_missing,stratified,mrr,num_versions,26,10,0.2309041874383317,-0.2955258371651003,236.5,0.00011191091692782476,0.8192307692307692,0.012086379028205073,True,0.8192307692307692,True
FlexFL__is_missing,stratified,mrr,confidence,26,10,0.5605334956487706,-1.797378186299459,236.0,3.4400309590719278e-06,0.8153846153846154,0.0004162437460477033,True,0.8153846153846154,True
FlexFL__is_missing,stratified,mrr,txt_likely_impacted_code_concepts_char_len,26,10,0.4706215852706007,-1.5760920798385218,233.0,0.0002501515334065553,0.7923076923076923,0.026015759474281752,True,0.7923076923076923,True
FlexFL__is_missing,stratified,mrr,n_words,26,10,-0.042891190000402556,-0.9184504393769674,233.0,0.00027857662058130867,0.7923076923076923,0.028136238678712174,True,0.7923076923076923,True
FlexFL__is_missing,stratified,mrr,n_sentences,26,10,-0.1859588018562962,-0.592972168959854,233.0,0.00025873606753446497,0.7923076923076923,0.026391078888515426,True,0.7923076923076923,True
FlexFL__is_missing,stratified,mrr,has_version_info,26,10,0.8663279454194439,-1.1542972904052369,232.0,1.1397066743521406e-05,0.7846153846153846,0.0013562509424790473,True,0.7846153846153846,True
FlexFL__is_missing,stratified,mrr,txt_likely_impacted_code_concepts_word_count,26,10,0.4241697786235321,-1.5768571431315483,228.0,0.00042154047088402305,0.7538461538461538,0.04131096614663426,True,0.7538461538461538,True
FlexFL__is_missing,stratified,mrr,txt_likely_impacted_code_concepts_avg_words_per_line,26,10,0.4241697786235321,-1.5768571431315483,228.0,0.00042154047088402305,0.7538461538461538,0.04131096614663426,True,0.7538461538461538,True
FlexFL__is_missing,stratified,mrr,txt_likely_impacted_code_concepts_avg_sentence_len,26,10,0.4260181358690711,-1.5749357960409722,228.0,0.00042154047088402305,0.7538461538461538,0.04131096614663426,True,0.7538461538461538,True
FlexFL__is_missing,stratified,mrr,concept_num_concepts,26,10,0.410786675927473,-1.6108648431262007,228.0,0.0002542662043889044,0.7538461538461538,0.026189419052057156,True,0.7538461538461538,True
FlexFL__is_missing,stratified,mrr,repair_difficulty,26,10,-0.6545677804703322,1.5143373651357288,33.0,0.0004150882404145909,-0.7461538461538462,0.0410937358010445,True,0.7461538461538462,True
FlexFL__is_missing,stratified,mrr,actionability,26,10,0.8491089986580442,-1.6812479388132864,225.0,0.00040719647550038166,0.7307692307692307,0.040719647550038165,True,0.7307692307692307,True
FlexFL__is_missing,stratified,mrr,concept_is_missing,26,10,0.0,1.0,36.0,2.090241520432517e-05,-0.7230769230769231,0.002341070502884419,True,0.7230769230769231,True
FlexFL__is_missing,stratified,mrr,txt_fine_grained_reasoning_hedge_count,26,10,-0.3770599600499196,1.8401588191168616,39.0,3.357363978697419e-06,-0.7,0.00040959840540108516,True,0.7,True
FlexFL__is_missing,stratified,mrr,txt_fine_grained_reasoning_hedge_density,26,10,-0.372629788649181,1.5411645655633919,39.0,3.73378379379646e-06,-0.7,0.0004480540552555752,True,0.7,True
FlexFL__is_missing,stratified,mrr,fine_grained_confidence,26,10,5.0,1.0,215.0,0.0002004060417506005,0.6538461538461539,0.021042634383813052,True,0.6538461538461539,True
