feature,target,spearman_rho,p_value,significant
txt_title_word_count,alpharepair,0.0366,0.29074,False
txt_title_word_count,arja-e,0.2241,0.0,True
txt_title_word_count,chatrepair,0.0598,0.0844,False
txt_title_word_count,circle,0.1286,0.0002,True
txt_title_word_count,coconut,0.0684,0.0483,True
txt_title_word_count,codex,0.0818,0.01801,True
txt_title_word_count,cure,0.077,0.02609,True
txt_title_word_count,dear,0.1353,9e-05,True
txt_title_word_count,dlfix,0.0706,0.04127,True
txt_title_word_count,fitrepair,0.0544,0.11598,False
txt_title_word_count,gamma,-0.0016,0.96384,False
txt_title_word_count,iter,0.1464,2e-05,True
txt_title_word_count,knod,0.0381,0.27169,False
txt_title_word_count,liana,0.032,0.35553,False
txt_title_word_count,mcrepair,0.0521,0.13251,False
txt_title_word_count,mulpor,0.0883,0.01066,True
txt_title_word_count,rap-gen,0.0602,0.08206,False
txt_title_word_count,recoder,0.0515,0.13671,False
txt_title_word_count,repilot,0.078,0.02424,True
txt_title_word_count,rewardrepair,0.0904,0.00898,True
txt_title_word_count,selfapr,0.1223,0.00039,True
txt_title_word_count,t5apr,0.0588,0.08966,False
txt_title_word_count,tare,0.0769,0.02636,True
txt_title_word_count,tenure,0.0692,0.04567,True
txt_title_word_count,thinkrepair,0.0663,0.05534,False
txt_title_word_count,transfer,0.1302,0.00016,True
txt_title_word_count,num_tools_fixed,0.1611,0.0,True
txt_title_word_count,any_tool_fixed,0.1678,0.0,True
txt_title_avg_sentence_len,alpharepair,0.0375,0.27911,False
txt_title_avg_sentence_len,arja-e,0.1781,0.0,True
txt_title_avg_sentence_len,chatrepair,0.0359,0.29997,False
txt_title_avg_sentence_len,circle,0.1073,0.0019,True
txt_title_avg_sentence_len,coconut,0.0741,0.03238,True
txt_title_avg_sentence_len,codex,0.0557,0.10754,False
txt_title_avg_sentence_len,cure,0.0772,0.02578,True
txt_title_avg_sentence_len,dear,0.1335,0.00011,True
txt_title_avg_sentence_len,dlfix,0.0656,0.05811,False
txt_title_avg_sentence_len,fitrepair,0.0469,0.17546,False
txt_title_avg_sentence_len,gamma,0.0089,0.79674,False
txt_title_avg_sentence_len,iter,0.146,2e-05,True
txt_title_avg_sentence_len,knod,0.0368,0.28863,False
txt_title_avg_sentence_len,liana,0.0103,0.76574,False
txt_title_avg_sentence_len,mcrepair,0.0662,0.05572,False
txt_title_avg_sentence_len,mulpor,0.0821,0.01766,True
txt_title_avg_sentence_len,rap-gen,0.0621,0.07294,False
txt_title_avg_sentence_len,recoder,0.0525,0.12978,False
txt_title_avg_sentence_len,repilot,0.0703,0.04227,True
txt_title_avg_sentence_len,rewardrepair,0.0913,0.00828,True
txt_title_avg_sentence_len,selfapr,0.1217,0.00042,True
txt_title_avg_sentence_len,t5apr,0.0532,0.12423,False
txt_title_avg_sentence_len,tare,0.0741,0.03233,True
txt_title_avg_sentence_len,tenure,0.0632,0.06801,False
txt_title_avg_sentence_len,thinkrepair,0.0446,0.1979,False
txt_title_avg_sentence_len,transfer,0.1772,0.0,True
txt_title_avg_sentence_len,num_tools_fixed,0.1673,0.0,True
txt_title_avg_sentence_len,any_tool_fixed,0.1886,0.0,True
txt_title_digit_density,alpharepair,0.0764,0.02718,True
txt_title_digit_density,arja-e,0.1961,0.0,True
txt_title_digit_density,chatrepair,0.0975,0.00481,True
txt_title_digit_density,circle,0.1299,0.00017,True
txt_title_digit_density,coconut,0.1235,0.00035,True
txt_title_digit_density,codex,0.1,0.00383,True
txt_title_digit_density,cure,0.1259,0.00027,True
txt_title_digit_density,dear,0.1785,0.0,True
txt_title_digit_density,dlfix,0.109,0.00161,True
txt_title_digit_density,fitrepair,0.0717,0.03841,True
txt_title_digit_density,gamma,0.013,0.70653,False
txt_title_digit_density,iter,0.1796,0.0,True
txt_title_digit_density,knod,0.089,0.01012,True
txt_title_digit_density,liana,0.0492,0.1558,False
txt_title_digit_density,mcrepair,0.0833,0.01605,True
txt_title_digit_density,mulpor,0.086,0.01294,True
txt_title_digit_density,rap-gen,0.0644,0.06301,False
txt_title_digit_density,recoder,0.0988,0.00427,True
txt_title_digit_density,repilot,0.0989,0.00423,True
txt_title_digit_density,rewardrepair,0.1253,0.00029,True
txt_title_digit_density,selfapr,0.1476,2e-05,True
txt_title_digit_density,t5apr,0.0901,0.00921,True
txt_title_digit_density,tare,0.1334,0.00011,True
txt_title_digit_density,tenure,0.0966,0.00519,True
txt_title_digit_density,thinkrepair,0.1014,0.00335,True
txt_title_digit_density,transfer,0.0976,0.00478,True
txt_title_digit_density,num_tools_fixed,0.1852,0.0,True
txt_title_digit_density,any_tool_fixed,0.1716,0.0,True
description_length,alpharepair,-0.0293,0.3979,False
description_length,arja-e,0.0695,0.04466,True
description_length,chatrepair,-0.0609,0.07859,False
description_length,circle,-0.0004,0.99041,False
description_length,coconut,-0.0076,0.82531,False
description_length,codex,0.0362,0.2961,False
description_length,cure,0.027,0.43546,False
description_length,dear,0.0098,0.77663,False
description_length,dlfix,-0.0312,0.3678,False
description_length,fitrepair,-0.0123,0.72372,False
description_length,gamma,0.0599,0.08353,False
description_length,iter,0.0075,0.82798,False
description_length,knod,0.0276,0.42629,False
description_length,liana,-0.0732,0.03446,True
description_length,mcrepair,-0.0579,0.09465,False
description_length,mulpor,0.0252,0.46726,False
description_length,rap-gen,-0.0157,0.65004,False
description_length,recoder,-0.0378,0.27566,False
description_length,repilot,0.0225,0.51538,False
description_length,rewardrepair,0.0474,0.17142,False
description_length,selfapr,0.0252,0.4679,False
description_length,t5apr,0.0355,0.30491,False
description_length,tare,-0.0069,0.84308,False
description_length,tenure,0.016,0.64372,False
description_length,thinkrepair,0.0256,0.45959,False
description_length,transfer,0.294,0.0,True
description_length,num_tools_fixed,0.1322,0.00013,True
description_length,any_tool_fixed,0.2099,0.0,True
txt_description_line_count,alpharepair,0.025,0.47065,False
txt_description_line_count,arja-e,0.1583,0.0,True
txt_description_line_count,chatrepair,0.0075,0.8291,False
txt_description_line_count,circle,0.0759,0.02835,True
txt_description_line_count,coconut,0.0329,0.34228,False
txt_description_line_count,codex,0.0834,0.01587,True
txt_description_line_count,cure,0.0642,0.06382,False
txt_description_line_count,dear,0.097,0.005,True
txt_description_line_count,dlfix,0.0391,0.2594,False
txt_description_line_count,fitrepair,0.0367,0.28993,False
txt_description_line_count,gamma,0.0578,0.09522,False
txt_description_line_count,iter,0.0961,0.00545,True
txt_description_line_count,knod,0.0589,0.08888,False
txt_description_line_count,liana,-0.0205,0.55458,False
txt_description_line_count,mcrepair,-0.0022,0.95019,False
txt_description_line_count,mulpor,0.0697,0.044,True
txt_description_line_count,rap-gen,0.0235,0.49773,False
txt_description_line_count,recoder,0.0352,0.30906,False
txt_description_line_count,repilot,0.0834,0.0159,True
txt_description_line_count,rewardrepair,0.0889,0.01017,True
txt_description_line_count,selfapr,0.0908,0.00862,True
txt_description_line_count,t5apr,0.0826,0.01699,True
txt_description_line_count,tare,0.0743,0.03188,True
txt_description_line_count,tenure,0.0774,0.02535,True
txt_description_line_count,thinkrepair,0.0715,0.03883,True
txt_description_line_count,transfer,0.2484,0.0,True
txt_description_line_count,num_tools_fixed,0.1863,0.0,True
txt_description_line_count,any_tool_fixed,0.2245,0.0,True
txt_description_avg_sentence_len,alpharepair,0.0043,0.90197,False
txt_description_avg_sentence_len,arja-e,0.1204,0.00049,True
txt_description_avg_sentence_len,chatrepair,-0.0257,0.45895,False
txt_description_avg_sentence_len,circle,-0.0107,0.75646,False
txt_description_avg_sentence_len,coconut,0.0213,0.53912,False
txt_description_avg_sentence_len,codex,0.0247,0.47669,False
txt_description_avg_sentence_len,cure,-0.0275,0.42783,False
txt_description_avg_sentence_len,dear,0.0442,0.20202,False
txt_description_avg_sentence_len,dlfix,-0.0278,0.42173,False
txt_description_avg_sentence_len,fitrepair,-0.0194,0.57533,False
txt_description_avg_sentence_len,gamma,0.0693,0.04531,True
txt_description_avg_sentence_len,iter,0.0158,0.64852,False
txt_description_avg_sentence_len,knod,-0.034,0.32587,False
txt_description_avg_sentence_len,liana,-0.0817,0.01828,True
txt_description_avg_sentence_len,mcrepair,-0.0335,0.33392,False
txt_description_avg_sentence_len,mulpor,-0.0133,0.70153,False
txt_description_avg_sentence_len,rap-gen,-0.0202,0.56044,False
txt_description_avg_sentence_len,recoder,-0.0489,0.15791,False
txt_description_avg_sentence_len,repilot,0.013,0.70847,False
txt_description_avg_sentence_len,rewardrepair,0.0162,0.64086,False
txt_description_avg_sentence_len,selfapr,-0.0128,0.7116,False
txt_description_avg_sentence_len,t5apr,0.0093,0.78908,False
txt_description_avg_sentence_len,tare,-0.0002,0.99578,False
txt_description_avg_sentence_len,tenure,0.0038,0.91216,False
txt_description_avg_sentence_len,thinkrepair,0.0028,0.93674,False
txt_description_avg_sentence_len,transfer,0.2175,0.0,True
txt_description_avg_sentence_len,num_tools_fixed,0.0801,0.02055,True
txt_description_avg_sentence_len,any_tool_fixed,0.1492,1e-05,True
txt_description_uniq_word_ratio,alpharepair,0.0268,0.43916,False
txt_description_uniq_word_ratio,arja-e,-0.0033,0.92484,False
txt_description_uniq_word_ratio,chatrepair,0.048,0.166,False
txt_description_uniq_word_ratio,circle,0.0393,0.25666,False
txt_description_uniq_word_ratio,coconut,0.0234,0.50031,False
txt_description_uniq_word_ratio,codex,-0.0529,0.12674,False
txt_description_uniq_word_ratio,cure,-0.0128,0.71196,False
txt_description_uniq_word_ratio,dear,0.0383,0.26932,False
txt_description_uniq_word_ratio,dlfix,0.0576,0.09608,False
txt_description_uniq_word_ratio,fitrepair,0.0126,0.7153,False
txt_description_uniq_word_ratio,gamma,-0.1035,0.00276,True
txt_description_uniq_word_ratio,iter,0.0337,0.33081,False
txt_description_uniq_word_ratio,knod,-0.0187,0.59016,False
txt_description_uniq_word_ratio,liana,0.0767,0.02676,True
txt_description_uniq_word_ratio,mcrepair,0.0938,0.00666,True
txt_description_uniq_word_ratio,mulpor,-0.0267,0.44122,False
txt_description_uniq_word_ratio,rap-gen,0.0238,0.49197,False
txt_description_uniq_word_ratio,recoder,0.0568,0.10106,False
txt_description_uniq_word_ratio,repilot,-0.0344,0.32095,False
txt_description_uniq_word_ratio,rewardrepair,-0.04,0.24831,False
txt_description_uniq_word_ratio,selfapr,-0.0076,0.82731,False
txt_description_uniq_word_ratio,t5apr,-0.0357,0.3024,False
txt_description_uniq_word_ratio,tare,0.005,0.88468,False
txt_description_uniq_word_ratio,tenure,0.0044,0.90002,False
txt_description_uniq_word_ratio,thinkrepair,-0.0439,0.20523,False
txt_description_uniq_word_ratio,transfer,-0.2788,0.0,True
txt_description_uniq_word_ratio,num_tools_fixed,-0.1148,0.00089,True
txt_description_uniq_word_ratio,any_tool_fixed,-0.1877,0.0,True
reasoning_composite,alpharepair,0.0176,0.61205,False
reasoning_composite,arja-e,0.0969,0.00509,True
reasoning_composite,chatrepair,-0.0263,0.44826,False
reasoning_composite,circle,-0.0157,0.65084,False
reasoning_composite,coconut,0.0163,0.6371,False
reasoning_composite,codex,0.0544,0.11613,False
reasoning_composite,cure,0.022,0.52466,False
reasoning_composite,dear,0.0395,0.25403,False
reasoning_composite,dlfix,-0.0038,0.91382,False
reasoning_composite,fitrepair,0.0153,0.65965,False
reasoning_composite,gamma,0.1107,0.00135,True
reasoning_composite,iter,0.0243,0.48265,False
reasoning_composite,knod,0.0251,0.46855,False
reasoning_composite,liana,-0.0929,0.00722,True
reasoning_composite,mcrepair,-0.0404,0.24376,False
